number|certdate|org_name|org_address|lab_name|lab_address|phone|cellphone|email|www|research_fields|research_objects
AB 001|1992-09-08|Urząd Dozoru Technicznego|ul. Szczęśliwicka 34; 02-353 Warszawa|Centralne Laboratorium Dozoru Technicznego|ul. Małeckiego 29; 60-706 Poznań|61 628-03-00||cldt@udt.gov.pl|www.udt.gov.pl|Badania akustyczne i hałasu - w tym hałasu spowodowanego przez drgania (A) :: Badania chemiczne, analityka chemiczna (C) :: Badania elektryczne i elektroniczne (E) :: Badania kompatybilności elektromagnetycznej (EMC) (F) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania mechaniczne, badania metalograficzne (J) :: Badania nieniszczące (L) :: Badania inne (M) :: Badania właściwości fizycznych (N)|Wyroby budowlane, materiały budowlane, obiekty budowlane :: Wyroby i wyposażenie elektryczne, telekomunikacyjne i elektroniczne :: Wyposażenie elektroniczne - w tym oprogramowanie :: Wyroby i materiały konstrukcyjne - w tym metale i kompozyty :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Paliwa i materiały smarne :: Szkło i ceramika :: Maszyny, zakłady produkcyjne, wyposażenie - w tym instalacje jądrowe :: Wyposażenie medyczne :: Wyroby inne :: Wyroby z tworzyw sztucznych i gumy :: Zabawki, sprzęt sportowy i rekreacyjny
AB 003|1993-04-27|Instytut Technologii Elektronowej|Al. Lotników 32/46; 02-668 Warszawa|Oddział PREDOM Laboratorium Badawcze|ul. Krakowiaków 53; 02-255 Warszawa|22 846-54-31||obr@predom.com.pl|www.predom.com.pl|Badania elektryczne i elektroniczne (E) :: Badania kompatybilności elektromagnetycznej (EMC) (F) :: Badania ogniowe (H) :: Badania mechaniczne, badania metalograficzne (J) :: Badania właściwości fizycznych (N)|Wyroby i wyposażenie elektryczne, telekomunikacyjne i elektroniczne :: Wyposażenie elektroniczne - w tym oprogramowanie :: Maszyny, zakłady produkcyjne, wyposażenie - w tym instalacje jądrowe :: Wyposażenie medyczne :: Wyposażenie optyczne :: Wyroby inne
AB 005|1993-12-01|Główny Instytut Górnictwa|pl. Gwarków 1; 40-166 Katowice|Zespół Laboratoriów Badawczych i Wzorcujących GIG|pl. Gwarków 1; 40-166 Katowice|32 258-16-31||gig@gig.eu|www.gig.eu|Badania akustyczne i hałasu - w tym hałasu spowodowanego przez drgania (A) :: Badania chemiczne, analityka chemiczna (C) :: Badania elektryczne i elektroniczne (E) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania mechaniczne, badania metalograficzne (J) :: Badania właściwości fizycznych (N) :: Badania radiochemiczne i promieniowania - w tym nuklearne (O) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Produkty rolne - w tym pasze dla zwierząt :: Azbest - w tym usuwanie azbestu :: Obiekty i materiały biologiczne przeznaczone do badań :: Chemikalia, kosmetyki, wyroby chemiczne - w tym nawozy i farby :: Wyroby budowlane, materiały budowlane, obiekty budowlane :: Wyroby i wyposażenie elektryczne, telekomunikacyjne i elektroniczne :: Wyposażenie elektroniczne - w tym oprogramowanie :: Wyroby i materiały konstrukcyjne - w tym metale i kompozyty :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Paliwa i materiały smarne :: Maszyny, zakłady produkcyjne, wyposażenie - w tym instalacje jądrowe :: Wyposażenie wojskowe, materiały wybuchowe, amunicja :: Wyroby inne :: Środki ochrony osobistej :: Wyroby z tworzyw sztucznych i gumy :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność :: Tekstylia i skóra, tkaniny, przędza, odzież oraz wyroby finalne :: Pojazdy
AB 006|1993-12-20|Polskie Centrum Badań i Certyfikacji S.A.|ul. Kłobucka 23A; 02-699 Warszawa|Oddział Badań i Certyfikacji w Pile, Laboratorium Nawozów i Wyrobów Chemicznych|ul. Śniadeckich 11; 64-920 Piła|67 213-87-00||jfinster@pcbc.gov.pl|www.pcbc.gov.pl|Badania chemiczne, analityka chemiczna (C) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Produkty rolne - w tym pasze dla zwierząt :: Chemikalia, kosmetyki, wyroby chemiczne - w tym nawozy i farby :: Wyroby i wyposażenie elektryczne, telekomunikacyjne i elektroniczne :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność :: Zabawki, sprzęt sportowy i rekreacyjny
AB 007|1993-12-31|Instytut Elektrotechniki|ul. Pożaryskiego 28; 04-703 Warszawa|Laboratorium Badawcze|ul. Narwicka 1; 80-557 Gdańsk|58 343-12-91||laboratorium@iel.gda.pl|laboratorium.iel.gda.pl|Badania elektryczne i elektroniczne (E) :: Badania kompatybilności elektromagnetycznej (EMC) (F) :: Badania ogniowe (H) :: Badania mechaniczne, badania metalograficzne (J) :: Badania właściwości fizycznych (N)|Wyroby i wyposażenie elektryczne, telekomunikacyjne i elektroniczne
AB 008|1994-09-29|Instytut Mechanizacji Budownictwa i Górnictwa Skalnego|ul. Racjonalizacji 6/8; 02-673 Warszawa|Oddział Zamiejscowy w Katowicach, Laboratorium Materiałów Budowlanych IZOLACJA|Al. W. Korfantego 193a; 40-157 Katowice|32 258-05-72||izolacja@imbigs.pl|www.imbigs.pl|Badania akustyczne i hałasu - w tym hałasu spowodowanego przez drgania (A) :: Badania chemiczne, analityka chemiczna (C) :: Badania ogniowe (H) :: Badania mechaniczne, badania metalograficzne (J) :: Badania właściwości fizycznych (N) :: Badania radiochemiczne i promieniowania - w tym nuklearne (O) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Wyroby budowlane, materiały budowlane, obiekty budowlane :: Wyroby i materiały konstrukcyjne - w tym metale i kompozyty :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby inne :: Wyroby z tworzyw sztucznych i gumy
AB 009|1994-09-20|Instytut Nafty i Gazu - Państwowy Instytut Badawczy|ul. Lubicz 25A; 31-503 Kraków|Zespół Laboratoriów Badawczych Pionu Technologii Nafty|ul. Łukasiewicza 1; 31-429 Kraków|12 617-75-28|||www.inig.pl|Badania chemiczne, analityka chemiczna (C) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Chemikalia, kosmetyki, wyroby chemiczne - w tym nawozy i farby :: Wyroby budowlane, materiały budowlane, obiekty budowlane :: Paliwa i materiały smarne
AB 011|1994-12-19|Polskie Centrum Badań i Certyfikacji S.A.|ul. Kłobucka 23A; 02-699 Warszawa|Oddział Badań i Certyfikacji w Gdańsku, Laboratorium Wyrobów Budowlanych|ul. Jakuba Wejhera 18a; 80-346 Gdańsk|58 511-06-27||labmb@pcbc.gda.pl|www.pcbc.gda.pl|Badania ogniowe (H) :: Badania mechaniczne, badania metalograficzne (J) :: Badania radiochemiczne i promieniowania - w tym nuklearne (O)|Wyroby budowlane, materiały budowlane, obiekty budowlane
AB 012|1994-09-10|ELTEST M. Jewtuch Spółka Jawna|ul. Ratuszowa 11; 03-450 Warszawa|Laboratorium Badawcze|ul. Ratuszowa 11; 03-450 Warszawa|22 619-39-66||sekretariat@eltest.com.pl|www.eltest.com.pl|Badania elektryczne i elektroniczne (E) :: Badania kompatybilności elektromagnetycznej (EMC) (F) :: Badania właściwości fizycznych (N)|Wyroby i wyposażenie elektryczne, telekomunikacyjne i elektroniczne :: Wyposażenie elektroniczne - w tym oprogramowanie :: Wyposażenie medyczne :: Zabawki, sprzęt sportowy i rekreacyjny
AB 014|1994-11-05|Centrum Techniki Okrętowej Spółka Akcyjna|ul. Szczecińska 65; 80-392 Gdańsk|Laboratorium Badań Ogniowych|ul. Szczecińska 65; 80-392 Gdańsk|58 511-62-28||rs@cto.gda.pl|www.cto.gda.pl|Badania ogniowe (H) :: Badania mechaniczne, badania metalograficzne (J) :: Badania właściwości fizycznych (N)|Chemikalia, kosmetyki, wyroby chemiczne - w tym nawozy i farby :: Wyroby budowlane, materiały budowlane, obiekty budowlane :: Meble :: Wyroby inne :: Wyroby z tworzyw sztucznych i gumy :: Tekstylia i skóra, tkaniny, przędza, odzież oraz wyroby finalne :: Pojazdy
